id,sia_e,ssa_e,ppq,tefo,phi_min,z_min,z_max,pseudo_plastic_uthreshold
0,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,49.21875
1,1.31640625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,49.21875
2,1.03515625,1.81640625,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,49.21875
3,1.03515625,1.33203125,0.7667968749999999,0.02361328125,28.046875,-324.21875,863.28125,49.21875
4,1.03515625,1.33203125,0.455078125,0.048222656249999996,28.046875,-324.21875,863.28125,49.21875
5,1.03515625,1.33203125,0.455078125,0.02361328125,26.328125,-324.21875,863.28125,49.21875
6,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-121.09375,863.28125,49.21875
7,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,27.34375,49.21875
8,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,152.34375
9,1.31640625,1.81640625,0.7667968749999999,0.048222656249999996,26.328125,-121.09375,27.34375,152.34375
10,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,149.21875
11,2.81640625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,149.21875
12,2.53515625,1.31640625,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,149.21875
13,2.53515625,1.83203125,0.41679687499999996,0.04611328125,18.046875,-824.21875,363.28125,149.21875
14,2.53515625,1.83203125,0.805078125,0.02572265625,18.046875,-824.21875,363.28125,149.21875
15,2.53515625,1.83203125,0.805078125,0.04611328125,16.328125,-824.21875,363.28125,149.21875
16,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-621.09375,363.28125,149.21875
17,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,527.34375,149.21875
18,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,52.34375
19,2.81640625,1.31640625,0.41679687499999996,0.02572265625,16.328125,-621.09375,527.34375,52.34375
20,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,199.21875
21,3.56640625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,199.21875
22,3.28515625,1.06640625,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,199.21875
23,3.28515625,1.08203125,0.591796875,0.03486328125,13.046875,-574.21875,613.28125,199.21875
24,3.28515625,1.08203125,0.280078125,0.03697265625,13.046875,-574.21875,613.28125,199.21875
25,3.28515625,1.08203125,0.280078125,0.03486328125,21.328125,-574.21875,613.28125,199.21875
26,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-371.09375,613.28125,199.21875
27,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,777.34375,199.21875
28,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,102.34375
29,3.56640625,1.06640625,0.591796875,0.03697265625,21.328125,-371.09375,777.34375,102.34375
30,1.78515625,1.58203125,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875
31,2.06640625,1.58203125,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875
32,1.78515625,1.56640625,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875
33,1.78515625,1.58203125,0.941796875,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875
